"Head_Coach","Coach","weight","group","group_count","lrole","tW","tPyW","tg_hc","ftm","ltm","fy_hc","ly_hc","fy_a","ly_a","TYr","nw","pyw500","above500","odo","cord","lodo","lcord"
"Dan Reeves","Chan Gailey",11,"aOC",7,"OC",190,179.5,357,"DEN","ATL",1981,2003,1985,1990,6,1.83333333333333,1,1,1,0,1,1
"Dan Reeves","Dennis Allen",2,"aDC",2,"aDC",190,179.5,357,"DEN","ATL",1981,2003,2002,2003,2,1,1,1,2,0,2,0
"Dan Reeves","Mike Nolan",16,"aDC",6,"DC",190,179.5,357,"DEN","ATL",1981,2003,1987,1996,10,1.6,1,1,2,0,2,1
"Dan Reeves","Mike Shanahan",4,"OC",3,"OC",190,179.5,357,"DEN","ATL",1981,2003,1984,1987,4,1,1,1,1,1,1,1
"Dan Reeves","Rod Dowhower",2,"OC",2,"OC",190,179.5,357,"DEN","ATL",1981,2003,1981,1982,2,1,1,1,1,1,1,1
"Dan Reeves","Wade Phillips",4,"DC",4,"DC",190,179.5,357,"DEN","ATL",1981,2003,1989,1992,4,1,1,1,2,1,2,1
"Darryl Rogers","Wayne Fontes",4,"DC",4,"DC",18,20.18,58,"DET","DET",1985,1988,1985,1988,4,1,0,0,2,1,2,1
"Dave Campo","Mike Zimmer",3,"DC",3,"DC",15,15.56,48,"DAL","DAL",2000,2002,2000,2002,3,1,0,0,2,1,2,1
"Dave Wannstedt","Dave McGinnis",3,"aDC",3,"aDC",82,83.41,169,"CHI","MIA",1993,2004,1993,1995,3,1,0,0,2,0,2,0
"Dave Wannstedt","Greg Schiano",3,"aDC",3,"aDC",82,83.41,169,"CHI","MIA",1993,2004,1996,1998,3,1,0,0,2,0,2,0
"Dave Wannstedt","Marc Trestman",1,"aHC",1,"aHC",82,83.41,169,"CHI","MIA",1993,2004,2004,2004,1,1,0,0,3,0,3,0
"Dave Wannstedt","Ron Rivera",2,"aDC",2,"aDC",82,83.41,169,"CHI","MIA",1993,2004,1997,1998,2,1,0,0,2,0,2,0
"David Shula","Gary Moeller",2,"aOC",2,"aOC",19,23.44,71,"CIN","CIN",1992,1996,1995,1996,2,1,0,0,1,0,1,0
"Dennis Erickson","Dan Quinn",2,"aDC",2,"aDC",40,44.71,96,"SEA","SF",1995,2004,2003,2004,2,1,0,0,2,0,2,0
"Dennis Erickson","Jim Zorn",1,"aOC",1,"aOC",40,44.71,96,"SEA","SF",1995,2004,1997,1997,1,1,0,0,1,0,1,0
"Dennis Green","Brian Billick",8,"OC",6,"OC",113,107.83,205,"MIN","ARI",1992,2006,1992,1998,7,1.14285714285714,1,1,1,1,1,1
"Dennis Green","Mike Tice",6,"aOC",6,"aOC",113,107.83,205,"MIN","ARI",1992,2006,1996,2001,6,1,1,1,1,0,1,0
"Dennis Green","Tony Dungy",4,"DC",4,"DC",113,107.83,205,"MIN","ARI",1992,2006,1992,1995,4,1,1,1,2,1,2,1
"Dick Jauron","Todd Haley",3,"aOC",3,"aOC",60,57.61,142,"CHI","BUF",1999,2009,2001,2003,3,1,0,0,1,0,1,0
"Dick Nolan","Ed Hughes",3,"aOC",2,"OC",69,77.37,157,"SF","NO",1968,1980,1968,1970,3,1,0,0,1,0,1,1
